path,tagname
Furniture.NoiseBarriers.NoiseBarrier.@noiseBarrierType,@noiseBarrierType
Furniture.NoiseBarriers.NoiseBarrier.@height,@height
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@source,@source
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@localID,@localID
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@objectEndTime,@objectEndTime
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@relativeElevation,@relativeElevation
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@registrationTime,@registrationTime
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@objectBeginTime,@objectBeginTime
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@originType,@originType
Furniture.NoiseBarriers.NoiseBarrier.Metadata.@isInService,@isInService
Furniture.NoiseBarriers.NoiseBarrier.@name,@name
Furniture.NoiseBarriers.NoiseBarrier.@materialType,@materialType
Furniture.NoiseBarriers.NoiseBarrier.Location.GeographicLocation.@azimuth,@azimuth
Furniture.NoiseBarriers.NoiseBarrier.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.NoiseBarriers.NoiseBarrier.Location.GeographicLocation.gml:LineString.gml:coordinates,gml:coordinates
Furniture.NoiseBarriers.NoiseBarrier.Location.GeographicLocation.gml:LineString.@srsName,@srsName
Furniture.NoiseBarriers.NoiseBarrier.Location.GeographicLocation.@accuracy,@accuracy
Furniture.NoiseBarriers.NoiseBarrier.Location.KmRibbonLocation.@value,@value
Furniture.NoiseBarriers.NoiseBarrier.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.NoiseBarriers.NoiseBarrier.@isBent,@isBent
Furniture.NoiseBarriers.NoiseBarrier.@remark,@remark
Furniture.NoiseBarriers.NoiseBarrier.@puic,@puic
Furniture.NoiseBarriers.NoiseBarrier.@length,@length
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@source,@source
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@localID,@localID
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@objectEndTime,@objectEndTime
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@relativeElevation,@relativeElevation
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@registrationTime,@registrationTime
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@objectBeginTime,@objectBeginTime
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@originType,@originType
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Metadata.@isInService,@isInService
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.@puic,@puic
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@source,@source
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@localID,@localID
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@objectEndTime,@objectEndTime
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@relativeElevation,@relativeElevation
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@registrationTime,@registrationTime
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@objectBeginTime,@objectBeginTime
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@originType,@originType
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Metadata.@isInService,@isInService
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Location.KmRibbonLocation.@value,@value
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Location.GeographicLocation.@azimuth,@azimuth
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Location.GeographicLocation.@accuracy,@accuracy
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.LightMast.@name,@name
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.@name,@name
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.@puic,@puic
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Location.KmRibbonLocation.@value,@value
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Location.GeographicLocation.@azimuth,@azimuth
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Location.GeographicLocation.@accuracy,@accuracy
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.TerrainLightingInstallations.TerrainLightingInstallation.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.LightTowers.LightTower.@puic,@puic
Furniture.LightTowers.LightTower.Metadata.@source,@source
Furniture.LightTowers.LightTower.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.LightTowers.LightTower.Metadata.@localID,@localID
Furniture.LightTowers.LightTower.Metadata.@objectEndTime,@objectEndTime
Furniture.LightTowers.LightTower.Metadata.@relativeElevation,@relativeElevation
Furniture.LightTowers.LightTower.Metadata.@registrationTime,@registrationTime
Furniture.LightTowers.LightTower.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.LightTowers.LightTower.Metadata.@objectBeginTime,@objectBeginTime
Furniture.LightTowers.LightTower.Metadata.@originType,@originType
Furniture.LightTowers.LightTower.Metadata.@isInService,@isInService
Furniture.LightTowers.LightTower.Location.KmRibbonLocation.@value,@value
Furniture.LightTowers.LightTower.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.LightTowers.LightTower.Location.GeographicLocation.@azimuth,@azimuth
Furniture.LightTowers.LightTower.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.LightTowers.LightTower.Location.GeographicLocation.@accuracy,@accuracy
Furniture.LightTowers.LightTower.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.LightTowers.LightTower.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.LightTowers.LightTower.@name,@name
Furniture.NonRailSigns.NonRailSign.@puic,@puic
Furniture.NonRailSigns.NonRailSign.Metadata.@source,@source
Furniture.NonRailSigns.NonRailSign.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.NonRailSigns.NonRailSign.Metadata.@localID,@localID
Furniture.NonRailSigns.NonRailSign.Metadata.@objectEndTime,@objectEndTime
Furniture.NonRailSigns.NonRailSign.Metadata.@relativeElevation,@relativeElevation
Furniture.NonRailSigns.NonRailSign.Metadata.@registrationTime,@registrationTime
Furniture.NonRailSigns.NonRailSign.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.NonRailSigns.NonRailSign.Metadata.@objectBeginTime,@objectBeginTime
Furniture.NonRailSigns.NonRailSign.Metadata.@originType,@originType
Furniture.NonRailSigns.NonRailSign.Metadata.@isInService,@isInService
Furniture.NonRailSigns.NonRailSign.Location.KmRibbonLocation.@value,@value
Furniture.NonRailSigns.NonRailSign.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.NonRailSigns.NonRailSign.Location.GeographicLocation.@azimuth,@azimuth
Furniture.NonRailSigns.NonRailSign.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.NonRailSigns.NonRailSign.Location.GeographicLocation.@accuracy,@accuracy
Furniture.NonRailSigns.NonRailSign.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.NonRailSigns.NonRailSign.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.NonRailSigns.NonRailSign.@name,@name
Furniture.RoeTrenches.RoeTrench.@puic,@puic
Furniture.RoeTrenches.RoeTrench.Metadata.@source,@source
Furniture.RoeTrenches.RoeTrench.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.RoeTrenches.RoeTrench.Metadata.@localID,@localID
Furniture.RoeTrenches.RoeTrench.Metadata.@objectEndTime,@objectEndTime
Furniture.RoeTrenches.RoeTrench.Metadata.@relativeElevation,@relativeElevation
Furniture.RoeTrenches.RoeTrench.Metadata.@registrationTime,@registrationTime
Furniture.RoeTrenches.RoeTrench.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.RoeTrenches.RoeTrench.Metadata.@objectBeginTime,@objectBeginTime
Furniture.RoeTrenches.RoeTrench.Metadata.@originType,@originType
Furniture.RoeTrenches.RoeTrench.Metadata.@isInService,@isInService
Furniture.RoeTrenches.RoeTrench.@name,@name
Furniture.RoeTrenches.RoeTrench.Location.GeographicLocation.@azimuth,@azimuth
Furniture.RoeTrenches.RoeTrench.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.RoeTrenches.RoeTrench.Location.GeographicLocation.gml:LineString.gml:coordinates,gml:coordinates
Furniture.RoeTrenches.RoeTrench.Location.GeographicLocation.gml:LineString.@srsName,@srsName
Furniture.RoeTrenches.RoeTrench.Location.GeographicLocation.@accuracy,@accuracy
Furniture.RoeTrenches.RoeTrench.Location.KmRibbonLocation.@value,@value
Furniture.RoeTrenches.RoeTrench.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.DocumentReferences.SituationChanges.Created,Created
Furniture.DocumentReferences.SituationChanges.Updated,Updated
Furniture.DocumentReferences.SituationChanges.Deleted,Deleted
Furniture.DocumentReferences.BoundaryReference.@documentName,@documentName
Furniture.DocumentReferences.PreviousVersion.@hashcode,@hashcode
Furniture.DocumentReferences.PreviousVersion.@documentName,@documentName
Furniture.DocumentReferences.BaseReference.@parentDocumentName,@parentDocumentName
Furniture.DocumentReferences.BaseReference.@parentHashcode,@parentHashcode
Furniture.WeatherVanes.WeatherVane.@puic,@puic
Furniture.WeatherVanes.WeatherVane.Metadata.@source,@source
Furniture.WeatherVanes.WeatherVane.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.WeatherVanes.WeatherVane.Metadata.@localID,@localID
Furniture.WeatherVanes.WeatherVane.Metadata.@objectEndTime,@objectEndTime
Furniture.WeatherVanes.WeatherVane.Metadata.@relativeElevation,@relativeElevation
Furniture.WeatherVanes.WeatherVane.Metadata.@registrationTime,@registrationTime
Furniture.WeatherVanes.WeatherVane.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.WeatherVanes.WeatherVane.Metadata.@objectBeginTime,@objectBeginTime
Furniture.WeatherVanes.WeatherVane.Metadata.@originType,@originType
Furniture.WeatherVanes.WeatherVane.Metadata.@isInService,@isInService
Furniture.WeatherVanes.WeatherVane.Location.KmRibbonLocation.@value,@value
Furniture.WeatherVanes.WeatherVane.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.WeatherVanes.WeatherVane.Location.GeographicLocation.@azimuth,@azimuth
Furniture.WeatherVanes.WeatherVane.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.WeatherVanes.WeatherVane.Location.GeographicLocation.@accuracy,@accuracy
Furniture.WeatherVanes.WeatherVane.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.WeatherVanes.WeatherVane.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.WeatherVanes.WeatherVane.@name,@name
Furniture.HectometerSigns.HectometerSign.@puic,@puic
Furniture.HectometerSigns.HectometerSign.Metadata.@source,@source
Furniture.HectometerSigns.HectometerSign.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.HectometerSigns.HectometerSign.Metadata.@localID,@localID
Furniture.HectometerSigns.HectometerSign.Metadata.@objectEndTime,@objectEndTime
Furniture.HectometerSigns.HectometerSign.Metadata.@relativeElevation,@relativeElevation
Furniture.HectometerSigns.HectometerSign.Metadata.@registrationTime,@registrationTime
Furniture.HectometerSigns.HectometerSign.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.HectometerSigns.HectometerSign.Metadata.@objectBeginTime,@objectBeginTime
Furniture.HectometerSigns.HectometerSign.Metadata.@originType,@originType
Furniture.HectometerSigns.HectometerSign.Metadata.@isInService,@isInService
Furniture.HectometerSigns.HectometerSign.Location.KmRibbonLocation.@value,@value
Furniture.HectometerSigns.HectometerSign.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.HectometerSigns.HectometerSign.Location.GeographicLocation.@azimuth,@azimuth
Furniture.HectometerSigns.HectometerSign.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.HectometerSigns.HectometerSign.Location.GeographicLocation.@accuracy,@accuracy
Furniture.HectometerSigns.HectometerSign.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.HectometerSigns.HectometerSign.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.HectometerSigns.HectometerSign.@name,@name
Furniture.FillHydrants.FillHydrant.@puic,@puic
Furniture.FillHydrants.FillHydrant.Metadata.@source,@source
Furniture.FillHydrants.FillHydrant.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.FillHydrants.FillHydrant.Metadata.@localID,@localID
Furniture.FillHydrants.FillHydrant.Metadata.@objectEndTime,@objectEndTime
Furniture.FillHydrants.FillHydrant.Metadata.@relativeElevation,@relativeElevation
Furniture.FillHydrants.FillHydrant.Metadata.@registrationTime,@registrationTime
Furniture.FillHydrants.FillHydrant.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.FillHydrants.FillHydrant.Metadata.@objectBeginTime,@objectBeginTime
Furniture.FillHydrants.FillHydrant.Metadata.@originType,@originType
Furniture.FillHydrants.FillHydrant.Metadata.@isInService,@isInService
Furniture.FillHydrants.FillHydrant.Location.KmRibbonLocation.@value,@value
Furniture.FillHydrants.FillHydrant.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.FillHydrants.FillHydrant.Location.GeographicLocation.@azimuth,@azimuth
Furniture.FillHydrants.FillHydrant.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.FillHydrants.FillHydrant.Location.GeographicLocation.@accuracy,@accuracy
Furniture.FillHydrants.FillHydrant.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.FillHydrants.FillHydrant.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.FillHydrants.FillHydrant.@name,@name
Furniture.AmphibianScreens.AmphibianScreen.@puic,@puic
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@source,@source
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@localID,@localID
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@objectEndTime,@objectEndTime
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@relativeElevation,@relativeElevation
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@registrationTime,@registrationTime
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@objectBeginTime,@objectBeginTime
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@originType,@originType
Furniture.AmphibianScreens.AmphibianScreen.Metadata.@isInService,@isInService
Furniture.AmphibianScreens.AmphibianScreen.@name,@name
Furniture.AmphibianScreens.AmphibianScreen.Location.GeographicLocation.@azimuth,@azimuth
Furniture.AmphibianScreens.AmphibianScreen.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
